# Illustrative AUD-based daily exchange rates for the Bodu.Financial samples.
# Business days 2024-01-02 .. 2024-06-28. Values are synthetic (deterministic
# oscillation around levels that approximate published 2024 H1 ranges) and are
# NOT actual published rates - they exist so the samples run fully offline.
# Columns: Date,From,To,Rate
Date,From,To,Rate
2024-03-12,AUD,JPY,98.09
2024-03-13,AUD,USD,0.6505
2024-03-13,AUD,EUR,0.6199
2024-03-13,AUD,JPY,97.96
2024-03-14,AUD,USD,0.6505
2024-03-14,AUD,EUR,0.6200
2024-03-14,AUD,JPY,97.94
2024-03-15,AUD,USD,0.6508
2024-03-15,AUD,EUR,0.6196
2024-03-15,AUD,JPY,97.98
2024-03-18,AUD,USD,0.6517
2024-03-18,AUD,EUR,0.6189
2024-03-18,AUD,JPY,98.03
2024-03-19,AUD,USD,0.6531
2024-03-19,AUD,EUR,0.6178
2024-03-19,AUD,JPY,98.05
2024-03-20,AUD,USD,0.6551
2024-03-20,AUD,EUR,0.6166
2024-03-20,AUD,JPY,98.01
2024-03-21,AUD,USD,0.6576
2024-03-21,AUD,EUR,0.6154
2024-03-21,AUD,JPY,97.88
2024-03-22,AUD,USD,0.6602
2024-03-22,AUD,EUR,0.6143
2024-03-22,AUD,JPY,97.66
2024-03-25,AUD,USD,0.6627
2024-03-25,AUD,EUR,0.6136
2024-03-25,AUD,JPY,97.37
2024-03-26,AUD,USD,0.6649
2024-03-26,AUD,EUR,0.6131
2024-03-26,AUD,JPY,97.06
2024-03-27,AUD,USD,0.6666
2024-03-27,AUD,EUR,0.6129
2024-03-27,AUD,JPY,96.78
2024-03-28,AUD,USD,0.6677
2024-03-28,AUD,EUR,0.6129
2024-03-28,AUD,JPY,96.56
2024-03-29,AUD,USD,0.6682
2024-03-29,AUD,EUR,0.6129
2024-03-29,AUD,JPY,96.46
2024-04-01,AUD,USD,0.6681
2024-04-01,AUD,EUR,0.6128
2024-04-01,AUD,JPY,96.50
2024-04-02,AUD,USD,0.6677
2024-04-02,AUD,EUR,0.6125
2024-04-02,AUD,JPY,96.69
2024-04-03,AUD,USD,0.6672
2024-04-03,AUD,EUR,0.6119
2024-04-03,AUD,JPY,97.00
2024-04-04,AUD,USD,0.6667
2024-04-04,AUD,EUR,0.6109
2024-04-04,AUD,JPY,97.40
2024-04-05,AUD,USD,0.6666
2024-04-05,AUD,EUR,0.6096
2024-04-05,AUD,JPY,97.85
2024-04-08,AUD,USD,0.6668
2024-04-08,AUD,EUR,0.6080
2024-04-08,AUD,JPY,98.29
2024-04-09,AUD,USD,0.6675
2024-04-09,AUD,EUR,0.6063
2024-04-09,AUD,JPY,98.68
2024-04-10,AUD,USD,0.6684
2024-04-10,AUD,EUR,0.6047
2024-04-10,AUD,JPY,98.98
2024-04-11,AUD,USD,0.6695
2024-04-11,AUD,EUR,0.6034
2024-04-11,AUD,JPY,99.17
2024-04-12,AUD,USD,0.6706
2024-04-12,AUD,EUR,0.6024
2024-04-12,AUD,JPY,99.27
2024-04-15,AUD,USD,0.6713
2024-04-15,AUD,EUR,0.6018
2024-04-15,AUD,JPY,99.31
2024-04-16,AUD,USD,0.6714
2024-04-16,AUD,EUR,0.6017
2024-04-16,AUD,JPY,99.31
2024-04-17,AUD,USD,0.6710
2024-04-17,AUD,EUR,0.6019
2024-04-17,AUD,JPY,99.34
2024-04-18,AUD,USD,0.6698
2024-04-18,AUD,EUR,0.6024
2024-04-18,AUD,JPY,99.43
2024-04-19,AUD,USD,0.6681
2024-04-19,AUD,EUR,0.6030
2024-04-19,AUD,JPY,99.62
2024-04-22,AUD,USD,0.6659
2024-04-22,AUD,EUR,0.6036
2024-04-22,AUD,JPY,99.91
2024-04-23,AUD,USD,0.6635
2024-04-23,AUD,EUR,0.6039
2024-04-23,AUD,JPY,100.30
2024-04-24,AUD,USD,0.6611
2024-04-24,AUD,EUR,0.6040
2024-04-24,AUD,JPY,100.76
2024-04-25,AUD,USD,0.6590
2024-04-25,AUD,EUR,0.6039
2024-04-25,AUD,JPY,101.24
2024-04-26,AUD,USD,0.6574
2024-04-26,AUD,EUR,0.6035
2024-04-26,AUD,JPY,101.69
2024-04-29,AUD,USD,0.6563
2024-04-29,AUD,EUR,0.6030
2024-04-29,AUD,JPY,102.06
2024-04-30,AUD,USD,0.6557
2024-04-30,AUD,EUR,0.6026
2024-04-30,AUD,JPY,102.32
2024-05-01,AUD,USD,0.6555
2024-05-01,AUD,EUR,0.6023
2024-05-01,AUD,JPY,102.43
2024-05-02,AUD,USD,0.6555
2024-05-02,AUD,EUR,0.6024
2024-05-02,AUD,JPY,102.40
2024-05-03,AUD,USD,0.6554
2024-05-03,AUD,EUR,0.6029
2024-05-03,AUD,JPY,102.25
2024-05-06,AUD,USD,0.6551
2024-05-06,AUD,EUR,0.6039
2024-05-06,AUD,JPY,102.01
2024-05-07,AUD,USD,0.6544
2024-05-07,AUD,EUR,0.6052
2024-05-07,AUD,JPY,101.75
2024-05-08,AUD,USD,0.6533
2024-05-08,AUD,EUR,0.6068
2024-05-08,AUD,JPY,101.50
2024-05-09,AUD,USD,0.6516
2024-05-09,AUD,EUR,0.6085
2024-05-09,AUD,JPY,101.30
2024-05-10,AUD,USD,0.6497
2024-05-10,AUD,EUR,0.6102
2024-05-10,AUD,JPY,101.19
2024-05-13,AUD,USD,0.6477
2024-05-13,AUD,EUR,0.6116
2024-05-13,AUD,JPY,101.16
2024-05-14,AUD,USD,0.6458
2024-05-14,AUD,EUR,0.6127
2024-05-14,AUD,JPY,101.20
2024-05-15,AUD,USD,0.6443
2024-05-15,AUD,EUR,0.6134
2024-05-15,AUD,JPY,101.29
2024-05-16,AUD,USD,0.6434
2024-05-16,AUD,EUR,0.6138
2024-05-16,AUD,JPY,101.36
2024-05-17,AUD,USD,0.6431
2024-05-17,AUD,EUR,0.6139
2024-05-17,AUD,JPY,101.37
2024-05-20,AUD,USD,0.6436
2024-05-20,AUD,EUR,0.6138
2024-05-20,AUD,JPY,101.29
2024-05-21,AUD,USD,0.6446
2024-05-21,AUD,EUR,0.6138
2024-05-21,AUD,JPY,101.09
2024-05-22,AUD,USD,0.6461
2024-05-22,AUD,EUR,0.6138
2024-05-22,AUD,JPY,100.76
2024-05-23,AUD,USD,0.6478
2024-05-23,AUD,EUR,0.6141
2024-05-23,AUD,JPY,100.32
2024-05-24,AUD,USD,0.6493
2024-05-24,AUD,EUR,0.6147
2024-05-24,AUD,JPY,99.80
2024-05-27,AUD,USD,0.6507
2024-05-27,AUD,EUR,0.6156
2024-05-27,AUD,JPY,99.25
2024-05-28,AUD,USD,0.6516
2024-05-28,AUD,EUR,0.6167
2024-05-28,AUD,JPY,98.73
2024-05-29,AUD,USD,0.6521
2024-05-29,AUD,EUR,0.6178
2024-05-29,AUD,JPY,98.28
2024-05-30,AUD,USD,0.6522
2024-05-30,AUD,EUR,0.6188
2024-05-30,AUD,JPY,97.95
2024-05-31,AUD,USD,0.6521
2024-05-31,AUD,EUR,0.6195
2024-05-31,AUD,JPY,97.74
2024-06-03,AUD,USD,0.6519
2024-06-03,AUD,EUR,0.6199
2024-06-03,AUD,JPY,97.65
2024-06-04,AUD,USD,0.6520
2024-06-04,AUD,EUR,0.6198
2024-06-04,AUD,JPY,97.66
2024-06-05,AUD,USD,0.6525
2024-06-05,AUD,EUR,0.6193
2024-06-05,AUD,JPY,97.73
2024-06-06,AUD,USD,0.6535
2024-06-06,AUD,EUR,0.6183
2024-06-06,AUD,JPY,97.81
2024-06-07,AUD,USD,0.6552
2024-06-07,AUD,EUR,0.6171
2024-06-07,AUD,JPY,97.85
2024-06-10,AUD,USD,0.6573
2024-06-10,AUD,EUR,0.6158
2024-06-10,AUD,JPY,97.83
2024-06-11,AUD,USD,0.6597
2024-06-11,AUD,EUR,0.6145
2024-06-11,AUD,JPY,97.71
2024-06-12,AUD,USD,0.6623
2024-06-12,AUD,EUR,0.6134
2024-06-12,AUD,JPY,97.52
2024-06-13,AUD,USD,0.6647
2024-06-13,AUD,EUR,0.6126
2024-06-13,AUD,JPY,97.26
2024-06-14,AUD,USD,0.6668
2024-06-14,AUD,EUR,0.6121
2024-06-14,AUD,JPY,96.99
2024-06-17,AUD,USD,0.6683
2024-06-17,AUD,EUR,0.6119
2024-06-17,AUD,JPY,96.75
2024-06-18,AUD,USD,0.6692
2024-06-18,AUD,EUR,0.6118
2024-06-18,AUD,JPY,96.60
2024-06-19,AUD,USD,0.6694
2024-06-19,AUD,EUR,0.6118
2024-06-19,AUD,JPY,96.56
2024-06-20,AUD,USD,0.6691
2024-06-20,AUD,EUR,0.6117
2024-06-20,AUD,JPY,96.66
2024-06-21,AUD,USD,0.6685
2024-06-21,AUD,EUR,0.6113
2024-06-21,AUD,JPY,96.91
2024-06-24,AUD,USD,0.6678
2024-06-24,AUD,EUR,0.6106
2024-06-24,AUD,JPY,97.28
2024-06-25,AUD,USD,0.6672
2024-06-25,AUD,EUR,0.6096
2024-06-25,AUD,JPY,97.72
2024-06-26,AUD,USD,0.6669
2024-06-26,AUD,EUR,0.6082
2024-06-26,AUD,JPY,98.20
2024-06-27,AUD,USD,0.6671
2024-06-27,AUD,EUR,0.6067
2024-06-27,AUD,JPY,98.66
2024-06-28,AUD,USD,0.6676
2024-06-28,AUD,EUR,0.6051
2024-06-28,AUD,JPY,99.05
