# IMD Rashtriya Panchang 1945 Saka Era (2023-2024 A.D.), English edition: the 'Principal
#   Festivals and Anniversaries' table (102 rows), machine-extracted from the text layer
#   of 'RP_1945SE.pdf' (India Meteorological Department, Positional Astronomy Centre; acquisition
#   record with URL + SHA-256 in ../raw/imd-rashtriya-panchang/manifest.json - the PDF is
#   not committed pending redistribution confirmation).
# Source class: official-published. Unlike the 1947 S.E. edition this PDF carries a real
#   text layer, so rows were parsed mechanically and then machine-verified: every printed
#   weekday matches the derived Gregorian date, the dates are strictly increasing, and the
#   S.E./K.E. era columns advance exactly at their month rollovers (Chaitra / Vaisakha).
# gregorianDate composes the printed day/month with the section-context year; printedDate
#   normalizes the printed day/month to 'DD Mon.' (day zero-padded, trailing period added
#   where the print omits it); printedWeekday is verbatim. festivals preserves the printed
#   comma-separated names, wrapped lines joined with a space.
# Saka/Kali dates are the printed luni-solar reckonings ('(ni)' = nija regular month,
#   '(ad)' = adhika intercalary month), day numbers zero-padded; sakaYear/kaliYear carry
#   the section-context era years.
row,gregorianDate,printedDate,printedWeekday,sakaDate,sakaYear,kaliDate,kaliYear,festivals,notes
12,2023-04-15,15 Apr.,Sat,25 Chaitra,1945,(ni) 02 Vaisakha,5124,"Vaisakhadi (Bengal), Shilhenba (Manipur) Bahag Bihu (Assam)",
13,2023-04-19,19 Apr.,Wed,29 Chaitra,1945,(ni) 06 Vaisakha,5124,Sab-e-Qadr (Preceding night),
14,2023-04-21,21 Apr.,Fri,01 Vaisakha,1945,(ni) 08 Vaisakha,5124,Jumatul Vida,
15,2023-04-22,22 Apr.,Sat,02 Vaisakha,1945,(ni) 09 Vaisakha,5124,"Akshaya Tritiya, Id-ul-Fitr Parasurama Jayanti",
16,2023-04-23,23 Apr.,Sun,03 Vaisakha,1945,(ni) 10 Vaisakha,5124,Babu Kuer Singh Day (Bihar),
17,2023-04-25,25 Apr.,Tue,05 Vaisakha,1945,(ni) 12 Vaisakha,5124,Sri Sankaracharya Jayanti Sri Ramanujacharya Jayanti (S.India),
18,2023-04-26,26 Apr.,Wed,06 Vaisakha,1945,(ni) 13 Vaisakha,5124,Sri Ramanujacharya Jayanti,
19,2023-04-30,30 Apr.,Sun,10 Vaisakha,1945,(ni) 17 Vaisakha,5124,Trichur Pooram (Kerala),
20,2023-05-01,01 May.,Mon,11 Vaisakha,1945,(ni) 18 Vaisakha,5124,May Day,
21,2023-05-02,02 May.,Tue,12 Vaisakha,1945,(ni) 19 Vaisakha,5124,Minakshi Kalyanam,
22,2023-05-05,05 May.,Fri,15 Vaisakha,1945,(ni) 22 Vaisakha,5124,Vaisakhi Purnima Buddha Purnima (Beginning of Buddha Era) 15 Vaisakha (ni) 22 Vaisakha 05 May (Fri),
23,2023-05-09,09 May.,Tue,19 Vaisakha,1945,(ni) 26 Vaisakha,5124,Birthday of Rabindranath Tagore,
24,2023-05-18,18 May.,Thu,28 Vaisakha,1945,(ni) 04 Jyaishtha,5124,Ascension Day-Holy Thursday,
25,2023-05-22,22 May.,Mon,01 Jyaishtha,1945,(ni) 08 Jyaishtha,5124,Pratap Jayanti (Rajasthan),
26,2023-05-25,25 May.,Thu,04 Jyaishtha,1945,(ni) 11 Jyaishtha,5124,Jamatri Shashthi (Bengal),
27,2023-06-20,20 June.,Tue,30 Jyaishtha,1945,(ni) 06 Ashadha,5124,Rathayatra,
28,2023-06-26,26 June.,Mon,05 Ashadha,1945,(ni) 12 Ashadha,5124,Kharchi Puja (Tripura),
29,2023-06-29,29 June.,Thu,08 Ashadha,1945,(ni) 15 Ashadha,5124,Id-uz-Zuha (Bakrid),
30,2023-07-11,11 July.,Tue,20 Ashadha,1945,(ni) 27 Ashadha,5124,Ker Puja (Tripura),
31,2023-07-20,20 July.,Thu,29 Ashadha,1945,(ni) 05 Sravana,5124,Beginning of Hejira Era,
32,2023-07-29,29 July.,Sat,07 Sravana,1945,(ni) 14 Sravana,5124,Muharram,
33,2023-08-01,01 Aug.,Tue,10 Sravana,1945,(ni) 17 Sravana,5124,Tilak Commemoration Day,
34,2023-08-15,15 Aug.,Tue,24 Sravana,1945,(ni) 31 Sravana,5124,Independence Day,
35,2023-08-16,16 Aug.,Wed,25 Sravana,1945,(ni) 01 Bhadra,5124,Parsi New Year's Day,
36,2023-08-18,18 Aug.,Fri,27 Sravana,1945,(ni) 03 Bhadra,5124,Tithi of Sri Sankara Deva (Assam) Simhadi (Kerala),
37,2023-08-19,19 Aug.,Sat,28 Sravana,1945,(ni) 04 Bhadra,5124,Madhusrava Tritiya (Teej),
38,2023-08-20,20 Aug.,Sun,29 Sravana,1945,(ni) 05 Bhadra,5124,Vinayaka Chaturthi (T.N.),
39,2023-08-21,21 Aug.,Mon,30 Sravana,1945,(ni) 06 Bhadra,5124,Naga Panchami,
40,2023-08-29,29 Aug.,Tue,07 Bhadra,1945,(ni) 14 Bhadra,5124,Onam or Thiru Onam Day,
41,2023-08-30,30 Aug.,Wed,08 Bhadra,1945,(ni) 15 Bhadra,5124,Raksha Bandhan,
42,2023-08-31,31 Aug.,Thu,09 Bhadra,1945,(ni) 16 Bhadra,5124,Amarnath Yatra,
43,2023-09-06,06 Sep.,Wed,15 Bhadra,1945,(ni) 22 Bhadra,5124,Janmashtami (Smarta),
44,2023-09-07,07 Sep.,Thu,16 Bhadra,1945,(ni) 23 Bhadra,5124,Gokulashtami (Nandotsava),
45,2023-09-16,16 Sep.,Sat,25 Bhadra,1945,(ni) 01 Asvina,5124,Jewish New Year (Rosh Hashnah),
46,2023-09-17,17 Sep.,Sun,26 Bhadra,1945,(ni) 02 Asvina,5124,Visvakarma Puja,
47,2023-09-19,19 Sep.,Tue,28 Bhadra,1945,(ni) 04 Asvina,5124,Samvatsari (Chaturthi Paksha -Jain) Samvatsari (Panchami Paksha -Jain) Ganesha Chaturthi,
48,2023-09-28,28 Sep.,Thu,06 Asvina,1945,(ni) 13 Asvina,5124,Fateha Dwaz Daham or Bara Wafat Milad-un-Nabi or Id-e-Milad (Birthday of Prophet),
49,2023-10-02,02 Oct.,Mon,10 Asvina,1945,(ni) 17 Asvina,5124,Mahatma Gandhi's Birthday,
50,2023-10-14,14 Oct.,Sat,22 Asvina,1945,(ni) 29 Asvina,5124,Mahalaya Amavasya,
51,2023-10-20,20 Oct.,Fri,28 Asvina,1945,(ni) 05 Kartika,5124,Oli Begins,
52,2023-10-21,21 Oct.,Sat,29 Asvina,1945,(ni) 06 Kartika,5124,Durga Puja Begins (Saptami),
53,2023-10-22,22 Oct.,Sun,30 Asvina,1945,(ni) 07 Kartika,5124,Durga Puja (Mahashtami),
54,2023-10-23,23 Oct.,Mon,01 Kartika,1945,(ni) 08 Kartika,5124,"Durga Puja (Mahanavami), Ayudha Puja",
55,2023-10-24,24 Oct.,Tue,02 Kartika,1945,(ni) 09 Kartika,5124,Vijaya Dasami (Dussehara or Dasahara) Vijaya Dasami (Bengal & Kerala),
56,2023-10-27,27 Oct.,Fri,05 Kartika,1945,(ni) 12 Kartika,5124,Fateha Yazdaham (Giarhween Sharif),
57,2023-10-28,28 Oct.,Sat,06 Kartika,1945,(ni) 13 Kartika,5124,"Maharshi Valmiki's Birthday Kojagori Lakshmi Puja (Bengal), Oli Ends (Jain)",
58,2023-11-01,01 Nov.,Wed,10 Kartika,1945,(ni) 17 Kartika,5124,Karaka Chaturthi (Karwa Chouth),
59,2023-11-12,12 Nov.,Sun,21 Kartika,1945,(ni) 28 Kartika,5124,"Dipavali, Kali Puja",
60,2023-11-13,13 Nov.,Mon,22 Kartika,1945,(ni) 29 Kartika,5124,Govardhana Puja,
61,2023-11-14,14 Nov.,Tue,23 Kartika,1945,(ni) 30 Kartika,5124,Kartika Sukladi,
62,2023-11-15,15 Nov.,Wed,24 Kartika,1945,(ni) 01 Agrahayana,5124,Bhratri Dvitiya,
63,2023-11-19,19 Nov.,Sun,28 Kartika,1945,(ni) 05 Agrahayana,5124,Chhat (Bihar),
64,2023-11-24,24 Nov.,Fri,03 Agrahayana,1945,(ni) 10 Agrahayana,5124,Guru Teg Bahadur's Martyrdom Day,
65,2023-11-27,27 Nov.,Mon,06 Agrahayana,1945,(ni) 13 Agrahayana,5124,"Guru Nanak's Birthday, Puskar Fair",
66,2023-12-24,24 Dec.,Sun,03 Pausha,1945,(ni) 10 Pausha,5124,Christmas Eve,
67,2023-12-25,25 Dec.,Mon,04 Pausha,1945,(ni) 11 Pausha,5124,Christmas Day,
68,2024-01-01,01 Jan.,Mon,11 Pausha,1945,(ni) 18 Pausha,5124,Christian (English) New Year's Day,
69,2024-01-13,13 Jan.,Sat,23 Pausha,1945,(ni) 30 Pausha,5124,Lohri (Jammu & Kashmir),
70,2024-01-14,14 Jan.,Sun,24 Pausha,1945,(ni) 01 Magha,5124,"Bhogi (S. India), Makara Samkranti (N. India)",
71,2024-01-15,15 Jan.,Mon,25 Pausha,1945,(ni) 02 Magha,5124,"Makara Samkranti (Bengal) Magha Bihu (Assam), TilaSamkranti, Makara Snana Pongal (S.India), Tai Pongal (Kerala)",
72,2024-01-16,16 Jan.,Tue,26 Pausha,1945,(ni) 03 Magha,5124,Mattu Pongal or Kanumu,
73,2024-01-17,17 Jan.,Wed,27 Pausha,1945,(ni) 04 Magha,5124,Guru Govind Singh's Birthday,
74,2024-01-23,23 Jan.,Tue,03 Magha,1945,(ni) 10 Magha,5124,Netaji's Birthday,
75,2024-01-25,25 Jan.,Thu,05 Magha,1945,(ni) 12 Magha,5124,Hazrat Ali's Birthday,
76,2024-01-26,26 Jan.,Fri,06 Magha,1945,(ni) 13 Magha,5124,Floating Festival/Tai Poosam Republic Day,
77,2024-02-08,08 Feb.,Thu,19 Magha,1945,(ni) 26 Magha,5124,Sab-e-Miraj (Preceding night),
78,2024-02-14,14 Feb.,Wed,25 Magha,1945,(ni) 02 Phalguna,5124,"Sri Panchami, Vasanta Panchami Saraswati Puja, Ash Wednesday",
79,2024-02-19,19 Feb.,Mon,30 Magha,1945,(ni) 07 Phalguna,5124,Shivaji Jayanti,
80,2024-02-24,24 Feb.,Sat,05 Phalguna,1945,(ni) 12 Phalguna,5124,Guru Ravi Das's Birthday,
81,2024-02-26,26 Feb.,Mon,07 Phalguna,1945,(ni) 14 Phalguna,5124,Sab-e-Barat (Preceding night),
82,2024-03-06,06 Mar.,Wed,16 Phalguna,1945,(ni) 23 Phalguna,5124,Birthday of Swami Dayananda Saraswati (Founder of Arya Swamaj),
83,2024-03-07,07 Mar.,Thu,17 Phalguna,1945,(ni) 24 Phalguna,5124,Maha Shivratri (Kashmir),
84,2024-03-08,08 Mar.,Fri,18 Phalguna,1945,(ni) 25 Phalguna,5124,"Maha Shivratri, Maha Shivratri (S.India)",
85,2024-03-12,12 Mar.,Tue,22 Phalguna,1945,(ni) 29 Phalguna,5124,Birthday of Sri Ramakrishna Paramahamsa Deva (According to tithi),
86,2024-03-20,20 Mar.,Wed,30 Phalguna,1945,(ni) 06 Chaitra,5124,Indian Year Ending Day,
87,2024-03-21,21 Mar.,Thu,01 Chaitra,1946,(ni) 07 Chaitra,5124,Indian New Year's Day,
88,2024-03-24,24 Mar.,Sun,04 Chaitra,1946,(ni) 10 Chaitra,5124,Holikadahana,
89,2024-03-25,25 Mar.,Mon,05 Chaitra,1946,(ni) 11 Chaitra,5124,"Holi, Dolyatra",
90,2024-03-29,29 Mar.,Fri,09 Chaitra,1946,(ni) 15 Chaitra,5124,Good Friday,
91,2024-03-30,30 Mar.,Sat,10 Chaitra,1946,(ni) 16 Chaitra,5124,Easter (Holy) Saturday,
92,2024-03-31,31 Mar.,Sun,11 Chaitra,1946,(ni) 17 Chaitra,5124,Easter Sunday,
93,2024-04-05,05 Apr.,Fri,16 Chaitra,1946,(ni) 22 Chaitra,5124,Jamatul Vida,
94,2024-04-07,07 Apr.,Sun,18 Chaitra,1946,(ni) 24 Chaitra,5124,Sab-e-Qadr (Preceding night),
95,2024-04-09,09 Apr.,Tue,20 Chaitra,1946,(ni) 26 Chaitra,5124,"Cheti Chand (Sindhi New Year's day) Chaitra Sukladi (Gudi Padava, Ugadi) Vasanta Navaratrambha,Telugu New Year's Day",
96,2024-04-11,11 Apr.,Thu,22 Chaitra,1946,(ni) 28 Chaitra,5124,"Gauri Tritiya (Gangaur), Id-ul-Fitr",
97,2024-04-13,13 Apr.,Sat,24 Chaitra,1946,(ni) 30 Chaitra,5124,"Chadaka Puja (Bengal),Visu (Kerala) Mesha Samkranti (Odisha), Chaitra Samkranti Cheiraoba (Manipur),Vaishakhi (Punjab, Haryana, H.P., Delhi, Odisha)",
98,2024-04-14,14 Apr.,Sun,25 Chaitra,1946,(ni) 01 Vaisakha,5125,"Meshadi (Tamilnadu), Tamil New Year's Day Vaisakhadi (Bengal), Bhag Bihu (Assam), Shilenba (Manipur) Dr B R Ambedkar Jayanti, New Year of All India Nirayana (5125 K.E.) Calendar",
99,2024-04-15,15 Apr.,Mon,26 Chaitra,1946,(ni) 02 Vaisakha,5125,"Oli Begins (Jain), Vasanti Pujarambha",
100,2024-04-16,16 Apr.,Tue,27 Chaitra,1946,(ni) 03 Vaisakha,5125,Annapurna Puja,
101,2024-04-17,17 Apr.,Wed,28 Chaitra,1946,(ni) 04 Vaisakha,5125,Rama Navami,
102,2024-04-19,19 Apr.,Fri,30 Chaitra,1946,(ni) 06 Vaisakha,5125,Trichur Pooram (Kerala),
